masc.,fem.,gloss
əkelj,əkeljə,that
mal,malə,bad
siβil,siβilə,civil
əskerp,əskerpə,shj
ʃop,ʃopə,drenched
sɛk,sɛkə,drj
əspɛs,əspɛsə,thick
gros,grosə,large
baʃ,baʃə,short
koʃ,koʃə,lame
tot,totə,all
brut,brutə,dirtj
pɔk,pɔkə,little
prəsis,prəsizə,precise
frənses,frənsezə,French
gris,grizə,grej
kəzat,kəzaðə,married
bwit,bwiðə,emptj
rɔʧ,rɔʒə,red
boʧ,boʒə,crazj
orp,orβə,blind
ljark,ljarɣə,long
sek,seɣə,blind
fəʃuk,fəʃuɣə,heavj
grok,groɣə,jellow
puruk,puruɣə,fearful
kandit,kandiðə,candid
frɛt,frɛðə,cold
səɣu,səɣurə,sure
du,durə,hard
səɣəðo,səɣəðorə,reaper
kla,klarə,clear
nu,nuə,nude
kru,kruə,raw
flɔɲǰu,flɔɲǰə,soft
dropu,dropə,lazy
əgzaktə,əgzaktə,exact
əlβi,əlβinə,albino
sa,sanə,healthy
pla,planə,level
bo,bonə,good
sərɛ,sərɛnə,calm
suβlim,suβlimə,sublime
al,altə,tall
fɔr,fɔrtə,strong
kur,kurtə,short
sor,sorðə,deaf
bɛr,bɛrðə,green
san,santə,saint
kəlɛn,kəlɛntə,hot
prufun,prufundə,deep
fəkun,fəkundə,fertile
dəsen,dəsentə,decent
dulen,dulentə,bad
əstuðian,əstuðiantə,student
blaŋ,blaŋkə,white
