form1,form2
kubude,kubude
tibade,tibade
sadude,sadude
ləbude,ləbude
abide,abide
soɡade,soɡade
nibude,nibude
kivide,kivide
luɡude,luɡude
sabade,sabade
sulade,sulade
tədede,tədede
kudede,kudede
vihtde,vihtade
vakkde,vakkade
arɡde,arɡade
vəlɡde,vəlɡade
søøtde,søøtade
metsde,metsade
laiskde,laiskade
hoobde,hoobade
haavde,haavade
lillde,lillede
kərbde,kərbede
lahtde,lahtede
neemde,neemede
leepde,leepede
luikde,luikede
jælʲɡde,jælʲɡede
kaartde,kaartide
kərʲbde,kərʲbide
paarde,paaride
kookde,kooide
keppde,keppide
pyksde,pykside
lindde,lindude
koonde,koonude
karkde,karkude
hullde,hullude
arvde,arvude
orbde,orbude
rooɡde,rooɡude
