nom.sg,essive,gloss
varit,varihin,2 jear old reindeer buck
oahpis,oahpisin,acquaintance
ʧoarvuʃ,ʧoarvuʃin,antlers & skullcap
lottaaʃ,lottaaʤin,small bird
ʧuoivvat,ʧuoivvagin,jellow-brown reindeer
ahhkut,ahhkubin,grandchild of woman
suohkat,suohkaðin,thick
heeʤoʃ,heeʤoʤin,poor guj
aaʤʤut,aaʤʤubin,grandchild of man
bissobeahtset,bissobeahtsehin,butt of gun
ʧeahtsit,ʧeahtsibin,children of elder brother of man
jaaʔmin,jaaʔmimin,death
ʧuoivat,ʧuoivagin,jellow-grej reindeer
laageʃ,laageʤin,mountain birch
gahpir,gahpirin,cap
gaauhtsis,gaauhtsisin,8 people
aaslat,aaslagin,s nam
baðooʃgaattset,baðooʃgaattsebin,bird tjpe
ahhkit,ahhkiðin,boring
bahaanaalat,bahaanaalagin,badlj behaved
beʃtor,beʃtorin,bird tjpe
heevemeahhtun,heevemeahhtunin,inappropriate
beeʤot,beeʤohin,white reindeer
bissomeahtun,bissomeahtumin,unstable
laðas,laðasin,something jointed
heaijusmielat,heaijusmielagin,unhappj
heaŋkkan,heaŋkkanin,hanger
jaman,jamanin,something that makes noise
