nom.,poss.,dat.,abl.,nom.pl.,poss.pl.,gloss
oda,odasɯ,odaja,odadan,odalar,odalarɯ,room
dere,deresi,dereje,dereden,dereler,dereleri,river
tilki,tilkisi,tilkije,tilkiden,tilkiler,tilkileri,fox
yty,ytysy,ytyje,ytyden,ytyler,ytyleri,press iron
arɯ,arɯsɯ,arɯja,arɯdan,arɯlar,arɯlarɯ,bee
boru,borusu,boruja,borudan,borular,borularɯ,pipe
kep,kepi,kepe,kepten,kepler,kepleri,cap
at,atɯ,ata,attan,atlar,atlarɯ,horse
kurt,kurdu,kurda,kurttan,kurtlar,kurtlarɯ,worm
saʧ,saʧɯ,saʧa,saʧtan,saʧlar,saʧlarɯ,hair
sarp,sarpɯ,sarpa,sarptan,sarplar,sarplarɯ,steep
son,sonu,sona,sondan,sonlar,sonlarɯ,end
køj,køjy,køje,køjden,køjler,køjleri,village
ɡyʧ,ɡyʤy,ɡyʤe,ɡyʧten,ɡyʧler,ɡyʧleri,power
sap,sapɯ,sapa,saptan,saplar,saplarɯ,stalk
alt,altɯ,alta,alttan,altlar,altlarɯ,bottom
renk,renɡi,renɡe,renkten,renkler,renkleri,color
balo,balosu,baloja,balodan,balolar,balolarɯ,ball
kap,kabɯ,kaba,kaptan,kaplar,kaplarɯ,container
tat,tadɯ,tada,tattan,tatlar,tatlarɯ,taste
ɡenʧ,ɡenʤi,ɡenʤe,ɡenʧten,ɡenʧler,ɡenʧleri,young
ajak,ajaɯ,ajaa,ajaktan,ajaklar,ajaklarɯ,foot
inek,inei,inee,inekten,inekler,inekleri,cow
hukuk,hukuu,hukua,hukuktan,hukuklar,hukuklarɯ,law school
meslek,meslei,meslee,meslekten,meslekler,meslekleri,profession
