Dative,Accusative,Purposive,Comitative + Apprehensive,Another
buɲaːnda,buɲaːɲ,buɲaːgu,buɲajida,buɲaːbi
manuːnda,manuːɲ,manuːgu,manujida,manuːbi
wudaːnda,wudaːɲ,wudaːgu,wudajida,wudaːbi
wuguːnda,wuguːɲ,wuguːgu,wugujida,wuguːbi
binirinda,biniriɲa,binirigu,binirijiːda,biniribi
wajilinda,wajiliɲa,wajiligu,wajilijiːda,wajilibi
mindirinda,mindiriɲa,mindirigu,mindirijiːda,mindiribi
gambiɻanda,gambiɻaɲa,gambiɻagu,gambiɻajiːda,gambiɻabi
gubumanda,gubumaɲa,gubumagu,gubumajiːda,gubumabi
gumalanda,gumalaɲa,gumalagu,gumalajiːda,gumalabi
gindanunda,gindanuɲa,gindanugu,gindanujiːda,gindanubi
jaguɲunda,jaguɲuɲa,jaguɲugu,jaguɲujiːda,jaguɲubi
gujuɻunda,gujuɻuɲa,gujuɻugu,gujuɻujiːda,gujuɻubi
ŋunaŋgaraːnda,ŋunaŋgaraːɲ,ŋunaŋgaraːgu,ŋunaŋgarajida,ŋunaŋgaraːbi
bugamuguːnda,bugamuguːɲ,bugamuguːgu,bugamugujida,bugamuguːbi
ɗulugunuːnda,ɗulugunuːɲ,ɗulugunuːgu,ɗulugunujida,ɗulugunuːbi
ɗilibiɻiːnda,ɗilibiɻiːɲ,ɗilibiɻiːgu,ɗilibiɻijida,ɗilibiɻiːbi
ŋumbubunda,ŋumbubuɲa,ŋumbubugu,ŋumbubujiːda,ŋumbububi
waɻabanda,waɻabaɲa,waɻabagu,waɻabajiːda,waɻababi
gujŋgilbinda,gujŋgilbiɲa,gujŋgilbigu,gujŋgilbijiːda,gujŋgilbibi
gawudanda,gawudaɲa,gawudagu,gawudajiːda,gawudabi
guludunda,guluduɲa,guludugu,guludujiːda,guludubi
bunbuɗanda,bunbuɗaɲa,bunbuɗagu,bunbuɗajiːda,bunbuɗabi
gabuɗunda,gabuɗuɲa,gabuɗugu,gabuɗujiːda,gabuɗubi
baɗinɗinda,baɗinɗiɲa,baɗinɗigu,baɗinɗijiːda,baɗinɗibi
giɗarɗinda,giɗarɗiɲa,giɗarɗigu,giɗarɗijiːda,giɗarɗibi
guruŋganda,guruŋgaɲa,guruŋgagu,guruŋgajiːda,guruŋgabi
ɗaraganda,ɗaragaɲa,ɗaragagu,ɗaragajiːda,ɗaragabi
ɗumbaginda,ɗumbagiɲa,ɗumbagigu,ɗumbagijiːda,ɗumbagibi
ɲurugunda,ɲuruguɲa,ɲurugugu,ɲurugujiːda,ɲurugubi
