abs., comit., gen., com.gen.,gloss
buɲa,buɲaːj,buɲaːn,buɲajini,woman
manu,manuːj,manuːn,manujini,treetop
wuda,wudaːj,wudaːn,wudajini,shark
wugu,wuguːj,wuguːn,wugujini,work
biniːr,biniriji,binirini,binirijiːn,money
wajiːl,wajiliji,wajilini,wajilijiːn,red bream
mindiːr,mindiriji,mindirini,mindirijiːn,salt-water centipede
gambiːɻ,gambiɻaji,gambiɻani,gambiɻajiːn,tablelands
gubuːm,gubumaji,gubumani,gubumajiːn,black pine
gumaːl,gumalaji,gumalani,gumalajiːn,stage in the development of grubs
gindaːn,gindanuji,gindanuni,gindanujiːn,moon
jaguːɲ,jaguɲuji,jaguɲuni,jaguɲujiːn,echidna
gujuːɻ,gujuɻuji,gujuɻuni,gujuɻujiːn,storm
ŋunaŋgara,ŋunaŋgaraːj,ŋunaŋgaraːn,ŋunaŋgarajini,whale
bugamugu,bugamuguːj,bugamuguːn,bugamugujini,daylight
ɗulugunu,ɗulugunuːj,ɗulugunuːn,ɗulugunujini,black myrtle
ɗilibiɻi,ɗilibiɻiːj,ɗilibiɻiːn,ɗilibiɻijini,lungfish
ŋumbuːbu,ŋumbubuji,ŋumbubuni,ŋumbubujiːn,new-born baby
waɻaːba,waɻabaji,waɻabani,waɻabajiːn,wide creek
gujŋgiːlbi,gujŋgilbiji,gujŋgilbini,gujŋgilbijiːn,Moreton Bay tree
gawuːda,gawudaji,gawudani,gawudajiːn,coat
guluːdu,guluduji,guluduni,guludujiːn,dove
bunbuːɗa,bunbuɗaji,bunbuɗani,bunbuɗajiːn,(spinning) top
gabuːɗu,gabuɗuji,gabuɗuni,gabuɗujiːn,white clay
baɗiːnɗi,baɗinɗiji,baɗinɗini,baɗinɗijiːn,sutton bird
giɗaːrɗi,giɗarɗiji,giɗarɗini,giɗarɗijiːn,policeman
guruːŋga,guruŋgaji,guruŋgani,guruŋgajiːn,kookaburra
ɗaraːga,ɗaragaji,ɗaragani,ɗaragajiːn,step-relative
ɗumbaːgi,ɗumbagiji,ɗumbagini,ɗumbagijiːn,tobacco
ɲuruːgu,ɲuruguji,ɲuruguni,ɲurugujiːn,sound of talking far off
